rel_path,filename,size_bytes,sha256,keys,model_type,seed,lambda,best_epoch,val_final_score,test_final_score,num_params
kaggle_output/tke_test/loss_screen/primary_lambda_0.1_seed42.pth,primary_lambda_0.1_seed42.pth,228261,d009705f97d491579aebd1651e77ae7016306c5de09952d184c372e928e079fb,"['state_dict', 'norm_mean', 'norm_std', 'residual_std', 'config', 'split', 'seed', 'lambda', 'best_epoch', 'val_rel_l2', 'val_tke', 'val_mvpe']",unknown,42,0.1,11,unknown,unknown,55528
kaggle_output/tke_test/loss_screen/primary_lambda_0.1_seed43.pth,primary_lambda_0.1_seed43.pth,228261,45643e8268971004c5b66e3fa3144f9ae40cbb2384f7f26e77d03b54af3cab44,"['state_dict', 'norm_mean', 'norm_std', 'residual_std', 'config', 'split', 'seed', 'lambda', 'best_epoch', 'val_rel_l2', 'val_tke', 'val_mvpe']",unknown,43,0.1,10,unknown,unknown,55528
kaggle_output/tke_test/loss_screen/primary_lambda_0.3_seed42.pth,primary_lambda_0.3_seed42.pth,228261,56219c5953a1a0db9aae1de3ae831962813569abb24aca182c192b30858a41a3,"['state_dict', 'norm_mean', 'norm_std', 'residual_std', 'config', 'split', 'seed', 'lambda', 'best_epoch', 'val_rel_l2', 'val_tke', 'val_mvpe']",unknown,42,0.3,0,unknown,unknown,55528
kaggle_output/tke_test/loss_screen/primary_lambda_0.3_seed43.pth,primary_lambda_0.3_seed43.pth,228261,6f7e0945df334879cb5ea84e540b2018b8721a9917e228ca155842d7ef400248,"['state_dict', 'norm_mean', 'norm_std', 'residual_std', 'config', 'split', 'seed', 'lambda', 'best_epoch', 'val_rel_l2', 'val_tke', 'val_mvpe']",unknown,43,0.3,10,unknown,unknown,55528
kaggle_output/tke_test/loss_screen/primary_lambda_0_seed42.pth,primary_lambda_0_seed42.pth,228229,0b2183abcf6545f18c2f4d161cfa3622c5972ff0cfcf8e44cf53c91d7eea054b,"['state_dict', 'norm_mean', 'norm_std', 'residual_std', 'config', 'split', 'seed', 'lambda', 'best_epoch', 'val_rel_l2', 'val_tke', 'val_mvpe']",unknown,42,0.0,12,unknown,unknown,55528
kaggle_output/tke_test/loss_screen/primary_lambda_0_seed43.pth,primary_lambda_0_seed43.pth,228229,24bfbe937809e611b57b015e7bd41331dc40de00aa21b36bdaeccfddf8255e63,"['state_dict', 'norm_mean', 'norm_std', 'residual_std', 'config', 'split', 'seed', 'lambda', 'best_epoch', 'val_rel_l2', 'val_tke', 'val_mvpe']",unknown,43,0.0,11,unknown,unknown,55528
kaggle_output/tke_test/loss_screen/primary_lambda_1_seed42.pth,primary_lambda_1_seed42.pth,228229,409aba4b02e97716cd7025b9831994abc019b441d4dd8926e2b168d0049b8efe,"['state_dict', 'norm_mean', 'norm_std', 'residual_std', 'config', 'split', 'seed', 'lambda', 'best_epoch', 'val_rel_l2', 'val_tke', 'val_mvpe']",unknown,42,1.0,0,unknown,unknown,55528
kaggle_output/tke_test/loss_screen/primary_lambda_1_seed43.pth,primary_lambda_1_seed43.pth,228229,0363442be7168a9ed90461989a51cbf75b18767768f1d481552c5d57672f110c,"['state_dict', 'norm_mean', 'norm_std', 'residual_std', 'config', 'split', 'seed', 'lambda', 'best_epoch', 'val_rel_l2', 'val_tke', 'val_mvpe']",unknown,43,1.0,0,unknown,unknown,55528
research/exp_zero_mean_head/artifacts/checkpoints/Model_C_Ordinary_L0_seed42.pth,Model_C_Ordinary_L0_seed42.pth,226997,70106a2cc1a9fb0abfaeb1c5d7e16a1bb4f8b5bacb91ec80aaa3d623373544cb,"['model_id', 'seed', 'lambda', 'best_epoch', 'val_final_score', 'test_final_score', 'state_dict', 'norm_mean', 'norm_std', 'residual_std']",unknown,42,0.0,12,82.36172110605361,82.25600960757416,55528
research/exp_zero_mean_head/artifacts/checkpoints/Model_C_Ordinary_L0_seed43.pth,Model_C_Ordinary_L0_seed43.pth,226997,2167750443ad706ba5f9f6011f4eaa52b4747e3635141b79ea8533d4ba9cfe21,"['model_id', 'seed', 'lambda', 'best_epoch', 'val_final_score', 'test_final_score', 'state_dict', 'norm_mean', 'norm_std', 'residual_std']",unknown,43,0.0,9,82.32128514598824,82.23850079079854,55528
