dimension,group,n_scored,coverage,mae,mean_width,sps_contribution_score
channel,u,2962917,0.8675399952141758,0.008512728847563267,0.02837291546165943,41.16934585571289
channel,v,2924578,0.9381989469933781,0.003000950440764427,0.0150669040158391,54.596168518066406
history_std_quantile,u:Q1,410970,0.947424386208239,0.0031783650629222393,0.016691694036126137,52.90791320800781
history_std_quantile,v:Q1,458545,0.9881494727889302,0.0009550770628266037,0.00734579237177968,65.1163330078125
history_std_quantile,u:Q2,904428,0.9400704091425741,0.0038051430601626635,0.018970750272274017,50.318111419677734
history_std_quantile,v:Q2,837160,0.9666001720101295,0.0014411589363589883,0.008546147495508194,62.07540512084961
history_std_quantile,u:Q3,895789,0.8628270720002144,0.006631604861468077,0.024396846070885658,41.50168991088867
history_std_quantile,v:Q3,802957,0.9090374702505862,0.002629605820402503,0.011549395509064198,54.671539306640625
history_std_quantile,u:Q4,751730,0.7422199459912469,0.019334465265274048,0.050809070467948914,23.348712921142578
history_std_quantile,v:Q4,825916,0.9100295913870176,0.006078858859837055,0.029382888227701187,41.1010856628418
horizon,h1,294284,0.873768196707942,0.0044077071361243725,0.014648620039224625,51.16468811035156
horizon,h2,294264,0.8932081396297202,0.0045068454928696156,0.01625066064298153,51.06019973754883
horizon,h3,294248,0.8975727957369294,0.004744129721075296,0.01743381842970848,50.47245788574219
horizon,h4,294229,0.897661345414626,0.004995029419660568,0.018392838537693024,49.80388259887695
horizon,h5,294283,0.8994097518375169,0.005163299851119518,0.019209859892725945,49.3342399597168
horizon,h6,294320,0.9024225332970917,0.005274577531963587,0.019930066540837288,48.99760437011719
horizon,h7,294407,0.9039730712924625,0.005434995982795954,0.02057231217622757,48.65656661987305
horizon,h8,294487,0.9054015966748956,0.0055596898309886456,0.021152757108211517,48.333133697509766
horizon,h9,294478,0.9060744775501056,0.005676806438714266,0.02168988063931465,48.00300979614258
horizon,h10,294551,0.9077918594742507,0.005758057814091444,0.022186290472745895,47.754695892333984
horizon,h11,294560,0.9102967137425312,0.005825738422572613,0.02265211008489132,47.560768127441406
horizon,h12,294557,0.9110698438672311,0.00589580787345767,0.023088736459612846,47.31730651855469
horizon,h13,294533,0.9112323576645062,0.006029297597706318,0.023501666262745857,47.08023452758789
horizon,h14,294404,0.911451610711811,0.006102775689214468,0.023896902799606323,46.828147888183594
horizon,h15,294379,0.9110534379150687,0.006213541608303785,0.024270709604024887,46.58041763305664
horizon,h16,294337,0.9083159779436496,0.006366170011460781,0.02462461031973362,46.23554229736328
horizon,h17,294322,0.905749485257643,0.006540808826684952,0.02496504597365856,45.92611312866211
horizon,h18,294329,0.9033394602638544,0.006745871622115374,0.025288913398981094,45.6060791015625
horizon,h19,294228,0.9015525374879345,0.006919480860233307,0.025601932778954506,45.35115051269531
horizon,h20,294295,0.8914014849046025,0.007334305439144373,0.025900084525346756,44.71734619140625
region,persistent_zero_mask,7001,0.8698757320382803,0.003308103419840336,0.012877332977950573,52.36349105834961
region,complement,5880494,0.9026784144325289,0.005777721758931875,0.021773813292384148,47.83365249633789
Re,6306,2203389,0.9367560607772845,0.003516487078741193,0.017192844301462173,51.97147750854492
Re,13977,2211558,0.9084120787245914,0.005329872015863657,0.021671567112207413,48.43952560424805
Re,24204,1472548,0.8429205703311539,0.009822098538279533,0.028739623725414276,40.753780364990234
AoA,0,1301190,0.9369200501079781,0.0038740721065551043,0.017410440370440483,55.09226989746094
AoA,5,860601,0.9502835808928877,0.0033447358291596174,0.016923068091273308,55.29130554199219
AoA,10,1328068,0.8964503323624995,0.006601792760193348,0.023628560826182365,45.83916473388672
AoA,15,1323846,0.8744181725064698,0.007413321174681187,0.024822620674967766,42.819698333740234
AoA,20,1073790,0.8653619422792166,0.006982658989727497,0.024838151410222054,41.73873519897461
