horizon,RelL2_off,RelL2_on,RelL2_delta,TKE_off,TKE_on,TKE_delta,MVPE_off,MVPE_on,MVPE_delta,single_frame_RelL2_delta
1,0.06599096208810806,0.06465043127536774,-0.001340530812740326,,,,0.09043475240468979,0.0894046425819397,-0.0010301098227500916,-0.001340530812740326
2,0.06655675917863846,0.06549181044101715,-0.0010649487376213074,1.0496926307678223,0.9533590078353882,-0.09633362293243408,0.08827602118253708,0.08726958185434341,-0.0010064393281936646,-0.0007892325520515442
3,0.06782426685094833,0.06700798869132996,-0.0008162781596183777,0.8512417674064636,0.822256863117218,-0.028984904289245605,0.08713456988334656,0.08640140295028687,-0.0007331669330596924,-0.00032999366521835327
4,0.0694318413734436,0.06875575333833694,-0.0006760880351066589,0.7741519212722778,0.7577382922172546,-0.016413629055023193,0.08812689036130905,0.08748947083950043,-0.0006374195218086243,-0.00028239190578460693
5,0.07096898555755615,0.07038968056440353,-0.0005793049931526184,0.7232207655906677,0.7132822275161743,-0.009938538074493408,0.08871167153120041,0.08824943006038666,-0.0004622414708137512,-0.00022339075803756714
6,0.07228793948888779,0.07177016139030457,-0.0005177780985832214,0.6927606463432312,0.6863420605659485,-0.006418585777282715,0.08882640302181244,0.0884552076458931,-0.00037119537591934204,-0.00023674219846725464
7,0.07357887923717499,0.07310633361339569,-0.0004725456237792969,0.6703262329101562,0.6660504341125488,-0.004275798797607422,0.08835215866565704,0.08803286403417587,-0.00031929463148117065,-0.00022545456886291504
8,0.07482879608869553,0.07439257204532623,-0.0004362240433692932,0.649747908115387,0.6468934416770935,-0.002854466438293457,0.08746999502182007,0.08717385679483414,-0.0002961382269859314,-0.0002064630389213562
9,0.07599250972270966,0.07558739185333252,-0.00040511786937713623,0.6321713328361511,0.6302102208137512,-0.0019611120223999023,0.08633313328027725,0.08606545627117157,-0.0002676770091056824,-0.00017989426851272583
10,0.07703912258148193,0.07666098326444626,-0.00037813931703567505,0.6181484460830688,0.6167548894882202,-0.0013935565948486328,0.08551834523677826,0.08528377115726471,-0.0002345740795135498,-0.00015737861394882202
11,0.0779833048582077,0.07762730121612549,-0.00035600364208221436,0.6070541143417358,0.606028139591217,-0.0010259747505187988,0.08474123477935791,0.08452539145946503,-0.0002158433198928833,-0.0001554936170578003
12,0.07887395471334457,0.07853294909000397,-0.0003410056233406067,0.5987781286239624,0.5979995727539062,-0.0007785558700561523,0.08417408168315887,0.08396278321743011,-0.00021129846572875977,-0.00019321590662002563
13,0.0798061266541481,0.07946760952472687,-0.00033851712942123413,0.5944797396659851,0.5938631892204285,-0.0006165504455566406,0.08384530991315842,0.08362910896539688,-0.00021620094776153564,-0.0003153085708618164
14,0.08067034184932709,0.08033382892608643,-0.0003365129232406616,0.5912483930587769,0.5907472372055054,-0.0005011558532714844,0.08359751850366592,0.08338355273008347,-0.0002139657735824585,-0.0003166794776916504
15,0.08151430636644363,0.0811857059597969,-0.0003286004066467285,0.5888745784759521,0.5884625315666199,-0.0004120469093322754,0.08339915424585342,0.08319444954395294,-0.00020470470190048218,-0.00023352354764938354
16,0.08238448202610016,0.08206760883331299,-0.0003168731927871704,0.5871098637580872,0.5867687463760376,-0.00034111738204956055,0.08324329555034637,0.08305332809686661,-0.00018996745347976685,-0.00016593188047409058
17,0.08328975737094879,0.08297816663980484,-0.0003115907311439514,0.5863762497901917,0.5860855579376221,-0.0002906918525695801,0.08308903872966766,0.0829194039106369,-0.00016963481903076172,-0.0002426058053970337
18,0.08424118906259537,0.08393511921167374,-0.00030606985092163086,0.5857588648796082,0.5855011343955994,-0.00025773048400878906,0.08282443135976791,0.08268037438392639,-0.00014405697584152222,-0.00023079663515090942
19,0.08526783436536789,0.08496250957250595,-0.0003053247928619385,0.5836250185966492,0.5833851099014282,-0.00023990869522094727,0.08250592648983002,0.0823788195848465,-0.0001271069049835205,-0.00030050426721572876
20,0.08655290305614471,0.08623190224170685,-0.0003210008144378662,0.5809698104858398,0.5806148052215576,-0.00035500526428222656,0.08212293684482574,0.08200548589229584,-0.00011745095252990723,-0.000564873218536377
