file,RelL2_off,RelL2_on,RelL2_delta,TKE_off,TKE_on,TKE_delta,MVPE_off,MVPE_on,MVPE_delta
13950_0.h5,0.045552194,0.045298968,-0.00025322288,0.64374137,0.64379454,5.3167343e-05,0.04001311,0.039857868,-0.00015524279
13950_10.h5,0.083690554,0.08352733,-0.00016322608,0.5683441,0.5683187,-2.5416413e-05,0.08512833,0.085077666,-5.0660223e-05
13950_15.h5,0.0853391,0.08522257,-0.000116525836,0.61746377,0.6174307,-3.3100445e-05,0.083826,0.083655834,-0.00017016444
13950_20.h5,0.10482741,0.104670875,-0.00015653919,0.50651795,0.5065023,-1.5671054e-05,0.11203808,0.11200544,-3.2647204e-05
13950_5.h5,0.05340421,0.053143755,-0.00026044995,0.66405636,0.6637872,-0.00026916465,0.035992716,0.035819586,-0.00017313163
24150_0.h5,0.048643526,0.048517015,-0.00012651148,0.82573915,0.8256721,-6.706516e-05,0.03365983,0.033546433,-0.00011339908
24150_10.h5,0.1027745,0.102713294,-6.1207764e-05,0.5186462,0.5186426,-3.5812457e-06,0.10069091,0.100589454,-0.00010146201
24150_15.h5,0.11756807,0.117518224,-4.9835693e-05,0.63069594,0.63069266,-3.2534201e-06,0.07713062,0.07711726,-1.3372551e-05
24150_20.h5,0.10771997,0.10764934,-7.063523e-05,0.56992775,0.569925,-2.7418137e-06,0.108718544,0.10869001,-2.8535724e-05
6300_0.h5,0.0675038,0.06678188,-0.000721924,0.29691297,0.29608038,-0.00083256763,0.05526431,0.0550687,-0.00019560568
6300_10.h5,0.09178562,0.09114361,-0.0006420091,0.6067411,0.6057825,-0.00095854205,0.10448745,0.104455076,-3.2375257e-05
6300_15.h5,0.11318248,0.11277931,-0.0004031683,0.6396326,0.63914543,-0.00048710904,0.13380559,0.13378978,-1.5801439e-05
6300_20.h5,0.13173962,0.13123882,-0.0005007945,0.5887944,0.58828074,-0.00051360327,0.14002469,0.14000274,-2.1944443e-05
6300_5.h5,0.07212097,0.071319886,-0.0008010815,0.449002,0.44742575,-0.0015761951,0.05667132,0.05619065,-0.00048066676
